sujet,compatible,acc,rt
2,c,1.0,595.0
2,i,1.0,479.0
2,i,1.0,409.0
2,c,1.0,439.0
2,i,1.0,578.0
2,c,1.0,380.0
2,c,1.0,405.0
2,c,1.0,452.0
2,i,1.0,579.0
2,c,1.0,407.0
2,i,1.0,534.0
2,i,1.0,627.0
2,c,1.0,434.0
2,c,1.0,534.0
2,c,1.0,460.0
2,i,1.0,517.0
2,c,1.0,446.0
2,c,1.0,457.0
2,c,1.0,455.0
2,c,1.0,454.0
2,i,1.0,572.0
2,i,1.0,522.0
2,i,1.0,754.0
2,i,1.0,580.0
2,i,1.0,665.0
2,i,1.0,554.0
2,c,1.0,509.0
2,c,1.0,541.0
2,c,1.0,408.0
2,c,1.0,605.0
2,i,1.0,445.0
2,c,1.0,568.0
2,c,1.0,633.0
2,i,1.0,657.0
2,i,1.0,488.0
2,c,1.0,423.0
2,i,1.0,443.0
2,i,1.0,497.0
2,i,1.0,789.0
2,i,1.0,527.0
2,i,1.0,497.0
2,c,1.0,500.0
2,i,1.0,602.0
2,i,1.0,432.0
2,c,1.0,457.0
2,c,1.0,404.0
2,c,1.0,412.0
2,i,1.0,449.0
2,c,1.0,462.0
2,i,1.0,698.0
2,c,1.0,445.0
2,c,1.0,400.0
2,i,0.0,415.0
2,i,1.0,483.0
2,c,1.0,519.0
2,c,1.0,445.0
2,c,1.0,461.0
2,c,1.0,435.0
2,c,1.0,336.0
2,i,1.0,507.0
2,c,1.0,430.0
2,c,1.0,433.0
2,c,1.0,424.0
2,i,0.0,434.0
2,c,1.0,392.0
2,c,1.0,432.0
2,i,1.0,547.0
2,c,1.0,380.0
2,i,1.0,573.0
2,c,1.0,549.0
2,c,1.0,409.0
2,i,1.0,530.0
2,i,1.0,581.0
2,c,1.0,402.0
2,i,0.0,418.0
2,i,1.0,486.0
2,i,1.0,498.0
2,i,1.0,511.0
2,i,1.0,504.0
2,i,1.0,502.0
2,i,1.0,535.0
2,i,1.0,507.0
2,c,1.0,438.0
2,i,0.0,372.0
2,c,1.0,671.0
2,i,1.0,714.0
2,i,1.0,468.0
2,c,1.0,516.0
2,c,1.0,421.0
2,i,1.0,468.0
2,i,1.0,530.0
2,c,1.0,433.0
2,c,1.0,581.0
2,c,1.0,527.0
2,i,1.0,526.0
2,c,1.0,543.0
2,i,1.0,451.0
2,i,1.0,555.0
2,c,1.0,544.0
2,c,1.0,402.0
2,i,1.0,446.0
2,i,1.0,529.0
2,i,1.0,439.0
2,i,1.0,511.0
2,i,1.0,495.0
2,c,1.0,612.0
2,c,1.0,393.0
2,c,1.0,373.0
2,i,1.0,342.0
2,c,1.0,386.0
2,i,0.0,383.0
2,c,1.0,615.0
2,i,1.0,616.0
2,c,1.0,446.0
2,i,1.0,748.0
2,i,1.0,629.0
2,i,1.0,617.0
2,c,1.0,443.0
2,i,1.0,543.0
2,c,1.0,432.0
2,i,1.0,534.0
2,c,1.0,599.0
2,c,1.0,620.0
2,i,1.0,576.0
2,c,1.0,477.0
2,c,1.0,695.0
2,c,1.0,600.0
2,i,1.0,550.0
2,c,1.0,479.0
2,c,1.0,446.0
2,i,1.0,603.0
2,c,1.0,561.0
2,i,1.0,827.0
2,i,1.0,619.0
2,i,1.0,618.0
2,i,1.0,627.0
2,c,1.0,538.0
2,i,1.0,776.0
2,c,1.0,441.0
2,c,1.0,512.0
2,i,1.0,560.0
2,c,1.0,559.0
2,i,1.0,585.0
2,c,1.0,477.0
2,c,1.0,483.0
2,i,1.0,552.0
2,i,1.0,518.0
2,c,1.0,387.0
2,i,1.0,505.0
2,c,1.0,417.0
2,c,1.0,398.0
2,i,1.0,560.0
2,c,1.0,506.0
2,c,1.0,551.0
2,c,1.0,570.0
2,c,1.0,546.0
2,c,1.0,851.0
2,c,0.0,488.0
2,c,1.0,453.0
2,i,1.0,580.0
2,i,1.0,600.0
2,i,1.0,693.0
2,c,1.0,396.0
2,i,0.0,395.0
2,c,1.0,584.0
2,i,1.0,507.0
2,c,1.0,500.0
2,i,1.0,557.0
2,i,1.0,553.0
2,i,1.0,596.0
2,i,1.0,652.0
2,c,1.0,547.0
2,i,1.0,679.0
2,i,1.0,996.0
2,c,1.0,622.0
2,i,1.0,685.0
2,c,1.0,501.0
2,i,1.0,531.0
2,c,1.0,767.0
2,c,1.0,447.0
2,i,1.0,573.0
2,i,1.0,553.0
2,c,1.0,511.0
2,i,1.0,500.0
2,c,1.0,641.0
2,c,1.0,451.0
2,i,0.0,551.0
2,i,1.0,446.0
2,c,1.0,482.0
2,i,1.0,522.0
2,c,1.0,500.0
2,c,1.0,479.0
2,c,1.0,376.0
2,i,1.0,509.0
2,c,1.0,434.0
2,c,1.0,516.0
2,c,1.0,424.0
2,i,1.0,662.0
2,c,1.0,576.0
2,c,1.0,830.0
2,i,1.0,556.0
2,i,0.0,378.0
2,c,1.0,574.0
2,c,1.0,402.0
2,c,1.0,410.0
2,i,1.0,616.0
2,c,1.0,869.0
2,i,1.0,552.0
2,c,1.0,452.0
2,i,0.0,435.0
2,i,1.0,660.0
2,i,0.0,491.0
2,i,1.0,595.0
2,i,1.0,613.0
2,c,1.0,496.0
2,c,1.0,527.0
2,c,1.0,529.0
2,c,1.0,556.0
2,i,1.0,807.0
2,i,1.0,535.0
2,c,1.0,735.0
2,i,1.0,448.0
2,i,1.0,481.0
2,c,1.0,478.0
2,i,1.0,762.0
2,i,0.0,402.0
2,c,1.0,437.0
2,i,1.0,522.0
2,i,1.0,506.0
2,c,1.0,469.0
2,i,0.0,442.0
2,c,1.0,411.0
2,i,1.0,634.0
2,i,1.0,838.0
2,i,1.0,449.0
2,c,1.0,580.0
2,i,1.0,654.0
2,c,1.0,497.0
2,c,1.0,642.0
2,i,1.0,610.0
2,i,1.0,597.0
2,i,1.0,676.0
2,i,1.0,561.0
2,c,1.0,439.0
2,i,1.0,621.0
2,i,1.0,565.0
2,i,1.0,481.0
2,i,1.0,605.0
2,i,1.0,539.0
2,i,1.0,469.0
2,c,1.0,516.0
2,c,1.0,464.0
2,c,1.0,401.0
2,i,1.0,524.0
2,c,1.0,425.0
2,i,1.0,516.0
2,c,1.0,502.0
2,c,1.0,540.0
2,c,1.0,436.0
2,i,1.0,581.0
2,c,1.0,470.0
2,c,1.0,358.0
2,c,1.0,468.0
2,i,1.0,658.0
2,i,1.0,425.0
2,c,1.0,467.0
2,c,1.0,435.0
2,i,1.0,527.0
2,c,1.0,576.0
2,i,0.0,390.0
2,c,1.0,530.0
2,c,1.0,460.0
2,i,0.0,453.0
2,c,1.0,410.0
2,c,1.0,419.0
2,i,1.0,778.0
2,i,1.0,709.0
2,c,1.0,499.0
2,i,1.0,510.0
2,i,1.0,638.0
2,c,1.0,401.0
2,c,1.0,684.0
2,c,1.0,466.0
2,c,1.0,658.0
2,i,1.0,643.0
2,i,1.0,481.0
2,c,1.0,364.0
2,c,1.0,466.0
2,i,1.0,717.0
2,c,1.0,526.0
2,i,1.0,499.0
2,c,1.0,462.0
2,i,1.0,613.0
2,i,1.0,580.0
2,i,1.0,482.0
2,c,1.0,469.0
2,i,1.0,581.0
2,i,1.0,539.0
2,c,1.0,492.0
2,i,0.0,387.0
2,c,1.0,438.0
2,c,1.0,526.0
2,i,1.0,626.0
2,c,1.0,487.0
2,i,1.0,441.0
2,c,1.0,701.0
2,c,1.0,547.0
2,i,1.0,500.0
2,i,1.0,606.0
2,i,1.0,761.0
2,i,1.0,565.0
2,c,1.0,424.0
2,i,1.0,618.0
2,c,1.0,408.0
2,i,1.0,510.0
2,c,1.0,530.0
2,i,1.0,461.0
2,i,1.0,436.0
2,i,1.0,600.0
2,i,1.0,534.0
2,i,1.0,466.0
2,i,1.0,958.0
2,c,1.0,454.0
2,i,1.0,594.0
2,i,1.0,490.0
2,c,1.0,434.0
2,c,1.0,413.0
2,c,1.0,436.0
2,i,1.0,610.0
2,c,1.0,501.0
2,c,1.0,514.0
2,i,1.0,609.0
2,i,1.0,496.0
2,i,1.0,834.0
2,c,1.0,348.0
2,c,1.0,303.0
2,c,1.0,405.0
2,c,1.0,356.0
2,c,1.0,362.0
2,c,1.0,322.0
2,i,0.0,351.0
2,i,1.0,429.0
2,i,1.0,459.0
2,i,1.0,485.0
2,c,1.0,629.0
2,c,1.0,477.0
2,i,1.0,538.0
2,i,1.0,495.0
2,c,1.0,452.0
2,i,0.0,371.0
2,i,1.0,563.0
2,i,1.0,527.0
2,c,1.0,470.0
2,c,1.0,469.0
2,i,1.0,651.0
2,c,1.0,472.0
2,c,1.0,416.0
2,c,1.0,486.0
2,c,1.0,499.0
2,i,0.0,512.0
2,c,1.0,569.0
2,c,1.0,417.0
2,i,0.0,459.0
2,c,1.0,598.0
2,c,1.0,711.0
2,c,1.0,605.0
2,i,1.0,516.0
2,c,1.0,447.0
2,c,1.0,447.0
3,c,1.0,669.0
3,i,1.0,509.0
3,i,1.0,503.0
3,c,1.0,468.0
3,i,1.0,403.0
3,c,1.0,385.0
3,c,1.0,427.0
3,c,1.0,419.0
3,c,1.0,458.0
3,i,1.0,703.0
3,i,1.0,611.0
3,c,1.0,419.0
3,i,1.0,549.0
3,i,1.0,671.0
3,c,1.0,384.0
3,i,1.0,494.0
3,c,1.0,398.0
3,i,1.0,611.0
3,c,1.0,419.0
3,i,1.0,455.0
3,c,1.0,361.0
3,i,1.0,421.0
3,i,1.0,472.0
3,c,1.0,504.0
3,c,1.0,488.0
3,i,1.0,578.0
3,c,1.0,392.0
3,c,1.0,402.0
3,c,1.0,520.0
3,i,1.0,382.0
3,i,1.0,572.0
3,i,1.0,522.0
3,i,1.0,579.0
3,c,1.0,428.0
3,i,1.0,650.0
3,c,1.0,494.0
3,c,1.0,440.0
3,i,1.0,490.0
3,i,0.0,389.0
3,c,1.0,609.0
3,c,1.0,512.0
3,i,1.0,658.0
3,i,1.0,485.0
3,c,1.0,375.0
3,i,1.0,556.0
3,i,1.0,514.0
3,c,1.0,414.0
3,i,1.0,528.0
3,i,1.0,525.0
3,c,1.0,472.0
3,i,1.0,517.0
3,i,1.0,479.0
3,i,1.0,503.0
3,i,1.0,298.0
3,c,1.0,457.0
3,c,1.0,635.0
3,i,0.0,372.0
3,c,1.0,543.0
3,c,0.0,513.0
3,c,1.0,509.0
3,i,1.0,645.0
3,i,1.0,520.0
3,i,1.0,530.0
3,c,1.0,355.0
3,i,0.0,243.0
3,i,1.0,611.0
3,c,1.0,520.0
3,c,1.0,550.0
3,c,1.0,440.0
3,c,1.0,308.0
3,i,0.0,372.0
3,i,1.0,511.0
3,i,1.0,502.0
3,i,0.0,308.0
3,c,1.0,417.0
3,c,1.0,480.0
3,i,1.0,411.0
3,c,1.0,523.0
3,c,1.0,349.0
3,i,0.0,314.0
3,c,1.0,503.0
3,i,1.0,456.0
3,c,1.0,442.0
3,c,1.0,396.0
3,c,1.0,344.0
3,c,1.0,284.0
3,i,1.0,250.0
3,c,1.0,424.0
3,c,1.0,426.0
3,c,1.0,473.0
3,i,0.0,358.0
3,i,1.0,676.0
3,c,1.0,552.0
3,c,1.0,429.0
3,c,1.0,525.0
3,c,1.0,354.0
3,i,1.0,448.0
3,c,1.0,377.0
3,c,1.0,313.0
3,i,1.0,342.0
3,c,1.0,403.0
3,c,1.0,471.0
3,c,1.0,375.0
3,c,1.0,407.0
3,i,0.0,370.0
3,c,1.0,374.0
3,i,0.0,397.0
3,i,1.0,564.0
3,i,1.0,621.0
3,c,1.0,341.0
3,c,1.0,525.0
3,i,1.0,652.0
3,c,1.0,471.0
3,i,1.0,467.0
3,i,1.0,859.0
3,c,1.0,441.0
3,c,1.0,408.0
3,c,1.0,718.0
3,c,1.0,481.0
3,i,1.0,828.0
3,c,1.0,878.0
3,c,1.0,518.0
3,c,1.0,380.0
3,i,1.0,679.0
3,i,1.0,559.0
3,i,1.0,468.0
3,i,0.0,367.0
3,i,1.0,687.0
3,c,1.0,546.0
3,i,1.0,469.0
3,c,1.0,517.0
3,i,1.0,383.0
3,c,1.0,368.0
3,i,1.0,608.0
3,i,0.0,393.0
3,i,1.0,563.0
3,c,1.0,311.0
3,c,1.0,449.0
3,i,1.0,637.0
3,c,1.0,425.0
3,i,1.0,514.0
3,c,1.0,527.0
3,i,1.0,507.0
3,c,1.0,429.0
3,i,1.0,480.0
3,c,1.0,381.0
3,i,1.0,407.0
3,c,1.0,703.0
3,i,1.0,472.0
3,i,1.0,329.0
3,i,0.0,335.0
3,i,1.0,709.0
3,i,0.0,356.0
3,c,1.0,616.0
3,c,1.0,447.0
3,i,1.0,606.0
3,c,1.0,529.0
3,i,1.0,631.0
3,c,1.0,372.0
3,i,1.0,579.0
3,i,1.0,785.0
3,c,1.0,519.0
3,i,0.0,471.0
3,i,1.0,461.0
3,c,1.0,337.0
3,i,0.0,331.0
3,i,1.0,693.0
3,c,1.0,468.0
3,c,1.0,478.0
3,c,1.0,366.0
3,c,1.0,381.0
3,i,1.0,562.0
3,c,1.0,490.0
3,c,1.0,478.0
3,i,1.0,461.0
3,i,1.0,737.0
3,c,1.0,461.0
3,c,1.0,524.0
3,i,1.0,514.0
3,i,1.0,427.0
3,i,1.0,824.0
3,i,0.0,435.0
3,c,1.0,412.0
3,i,1.0,555.0
3,c,1.0,407.0
3,i,1.0,452.0
3,c,1.0,399.0
3,c,1.0,568.0
3,c,1.0,374.0
3,i,1.0,674.0
3,i,0.0,480.0
3,c,1.0,476.0
3,i,1.0,506.0
3,c,1.0,426.0
3,c,1.0,413.0
3,c,1.0,452.0
3,c,1.0,453.0
3,i,0.0,362.0
3,i,1.0,506.0
3,c,1.0,475.0
3,i,1.0,459.0
3,i,1.0,752.0
3,i,1.0,628.0
3,c,1.0,606.0
3,c,1.0,449.0
3,c,1.0,454.0
3,i,1.0,389.0
3,c,1.0,459.0
3,c,0.0,260.0
3,i,1.0,447.0
3,i,1.0,510.0
3,i,1.0,561.0
3,i,1.0,523.0
3,c,1.0,424.0
3,c,1.0,451.0
3,i,1.0,527.0
3,c,1.0,539.0
3,c,1.0,440.0
3,i,1.0,711.0
3,i,1.0,404.0
3,i,1.0,560.0
3,c,1.0,367.0
3,i,1.0,525.0
3,c,1.0,460.0
3,i,1.0,413.0
3,c,1.0,600.0
3,c,1.0,338.0
3,c,1.0,382.0
3,i,0.0,291.0
3,i,1.0,570.0
3,c,1.0,477.0
3,i,1.0,371.0
3,c,1.0,419.0
3,i,1.0,784.0
3,c,1.0,626.0
3,c,1.0,401.0
3,i,1.0,533.0
3,c,1.0,450.0
3,c,0.0,290.0
3,i,1.0,602.0
3,c,1.0,496.0
3,c,1.0,610.0
3,i,1.0,509.0
3,i,1.0,514.0
3,i,1.0,418.0
3,i,1.0,392.0
3,i,1.0,574.0
3,i,0.0,419.0
3,i,0.0,425.0
3,i,1.0,660.0
3,i,1.0,655.0
3,c,1.0,489.0
3,c,1.0,470.0
3,i,1.0,558.0
3,i,1.0,594.0
3,i,1.0,435.0
3,c,1.0,450.0
3,c,1.0,521.0
3,i,1.0,644.0
3,i,0.0,386.0
3,c,1.0,549.0
3,c,1.0,386.0
3,c,1.0,453.0
3,i,1.0,567.0
3,c,1.0,351.0
3,c,1.0,401.0
3,c,1.0,490.0
3,c,0.0,308.0
3,i,1.0,526.0
3,i,1.0,627.0
3,c,1.0,405.0
3,c,1.0,370.0
3,i,1.0,634.0
3,i,1.0,564.0
3,i,0.0,341.0
3,c,1.0,467.0
3,i,1.0,724.0
3,c,1.0,442.0
3,i,1.0,384.0
3,i,1.0,647.0
3,i,1.0,279.0
3,c,1.0,272.0
3,c,1.0,418.0
3,i,1.0,539.0
3,c,1.0,372.0
3,i,0.0,392.0
3,i,1.0,510.0
3,c,1.0,361.0
3,c,1.0,424.0
3,c,1.0,367.0
3,c,1.0,481.0
3,c,1.0,367.0
3,c,1.0,287.0
3,i,0.0,344.0
3,c,1.0,543.0
3,i,1.0,560.0
3,c,1.0,369.0
3,i,0.0,308.0
3,i,1.0,523.0
3,c,1.0,375.0
3,i,1.0,548.0
3,i,1.0,617.0
3,i,1.0,454.0
3,c,1.0,443.0
3,c,1.0,404.0
3,c,1.0,523.0
3,c,1.0,405.0
3,c,1.0,435.0
3,i,1.0,560.0
3,c,1.0,477.0
3,i,1.0,675.0
3,c,1.0,362.0
3,c,1.0,491.0
3,c,1.0,447.0
3,i,1.0,449.0
3,i,1.0,493.0
3,i,1.0,515.0
3,c,1.0,406.0
3,i,1.0,540.0
3,i,1.0,509.0
3,i,1.0,305.0
3,c,1.0,545.0
3,c,1.0,512.0
3,c,0.0,303.0
3,i,1.0,518.0
3,i,1.0,385.0
3,i,1.0,581.0
3,c,1.0,494.0
3,c,1.0,449.0
3,c,1.0,480.0
3,i,1.0,599.0
3,i,1.0,624.0
3,i,1.0,498.0
3,i,1.0,467.0
3,i,0.0,333.0
3,i,0.0,397.0
3,c,1.0,405.0
3,i,1.0,491.0
3,c,1.0,541.0
3,i,1.0,476.0
3,i,1.0,513.0
3,i,1.0,427.0
3,c,1.0,406.0
3,c,1.0,521.0
3,c,1.0,387.0
3,c,1.0,378.0
3,i,0.0,357.0
3,i,0.0,394.0
3,c,1.0,525.0
3,c,1.0,446.0
3,c,1.0,499.0
3,c,1.0,414.0
3,i,1.0,514.0
3,i,1.0,404.0
3,c,1.0,459.0
3,c,1.0,366.0
3,i,0.0,370.0
3,i,1.0,646.0
3,i,1.0,638.0
3,c,1.0,402.0
3,i,1.0,469.0
3,c,1.0,451.0
3,i,1.0,913.0
3,i,1.0,518.0
3,c,1.0,494.0
3,c,1.0,492.0
3,c,1.0,396.0
3,i,1.0,552.0
3,i,1.0,552.0
5,c,1.0,524.0
5,i,1.0,487.0
5,c,1.0,487.0
5,c,1.0,459.0
5,i,1.0,486.0
5,c,1.0,504.0
5,i,1.0,474.0
5,c,1.0,367.0
5,c,1.0,412.0
5,i,1.0,460.0
5,c,1.0,416.0
5,i,1.0,438.0
5,i,1.0,453.0
5,c,1.0,524.0
5,i,1.0,486.0
5,i,1.0,650.0
5,i,1.0,517.0
5,i,1.0,496.0
5,c,1.0,472.0
5,c,1.0,467.0
5,i,1.0,515.0
5,i,1.0,485.0
5,i,1.0,502.0
5,i,1.0,545.0
5,c,1.0,393.0
5,i,1.0,469.0
5,c,1.0,398.0
5,i,1.0,590.0
5,c,1.0,539.0
5,c,1.0,458.0
5,i,1.0,562.0
5,i,1.0,603.0
5,i,1.0,700.0
5,i,1.0,441.0
5,i,1.0,521.0
5,i,1.0,458.0
5,c,1.0,510.0
5,i,1.0,488.0
5,c,1.0,412.0
5,c,1.0,434.0
5,i,1.0,474.0
5,i,1.0,527.0
5,i,1.0,1547.0
5,i,1.0,478.0
5,i,1.0,430.0
5,c,1.0,461.0
5,i,1.0,504.0
5,i,1.0,473.0
5,i,1.0,596.0
5,c,1.0,457.0
5,c,1.0,437.0
5,c,1.0,437.0
5,c,1.0,495.0
5,i,1.0,510.0
5,c,1.0,479.0
5,c,1.0,480.0
5,c,1.0,609.0
5,i,1.0,503.0
