Type,RT,ACC,RT_target,Hit,Miss,FA,CR,sujet,Hit_rate,Miss_rate,FA_rate,CR_rate,Mean_RT_target
target,679.0,1.0,679.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,414.0,1.0,414.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,455.0,1.0,455.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,398.0,1.0,398.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,415.0,1.0,415.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,405.0,1.0,405.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,476.0,1.0,476.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,423.0,1.0,423.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,354.0,1.0,354.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
target,332.0,1.0,332.0,1.0,0.0,0.0,0.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
non_target,,1.0,,0.0,0.0,0.0,1.0,2,0.9895833333333334,0.01041666666666663,0.017857142857142856,0.9821428571428571,442.57894736842104
