sujet,compatible,acc,rt
2,c,1.0,423.0
2,c,1.0,441.0
2,c,1.0,416.0
2,c,1.0,862.0
2,i,0.0,463.0
2,c,1.0,988.0
2,c,1.0,389.0
2,c,1.0,329.0
2,c,1.0,368.0
2,i,1.0,561.0
2,i,1.0,519.0
2,c,1.0,508.0
2,c,1.0,438.0
2,i,1.0,528.0
2,i,1.0,491.0
2,c,1.0,539.0
2,c,1.0,412.0
2,c,1.0,356.0
2,c,1.0,416.0
2,i,1.0,457.0
2,c,1.0,472.0
2,c,1.0,362.0
2,c,1.0,371.0
2,c,1.0,390.0
2,i,1.0,460.0
2,c,1.0,339.0
2,i,1.0,496.0
2,i,1.0,615.0
2,i,1.0,636.0
2,c,1.0,543.0
2,c,1.0,406.0
2,i,0.0,407.0
2,c,1.0,469.0
2,c,1.0,434.0
2,i,1.0,511.0
2,c,1.0,465.0
2,c,1.0,513.0
2,c,0.0,613.0
2,c,1.0,527.0
2,i,1.0,529.0
2,c,1.0,601.0
2,i,1.0,650.0
2,c,1.0,405.0
2,c,1.0,352.0
2,c,1.0,339.0
2,c,1.0,471.0
2,c,1.0,399.0
2,c,1.0,420.0
2,i,1.0,494.0
2,i,1.0,519.0
2,c,1.0,356.0
2,c,1.0,357.0
2,c,1.0,533.0
2,c,1.0,421.0
2,c,1.0,298.0
2,c,1.0,348.0
2,i,1.0,414.0
2,c,1.0,681.0
2,i,1.0,481.0
2,c,1.0,575.0
2,i,1.0,452.0
2,c,1.0,426.0
2,i,1.0,490.0
2,c,1.0,386.0
2,c,1.0,437.0
2,c,1.0,334.0
2,i,1.0,674.0
2,c,1.0,554.0
2,c,1.0,551.0
2,c,1.0,347.0
2,c,1.0,359.0
2,c,1.0,318.0
2,c,1.0,420.0
2,c,1.0,401.0
2,c,1.0,376.0
2,c,1.0,535.0
2,c,1.0,453.0
2,c,1.0,399.0
2,c,1.0,385.0
2,c,0.0,424.0
2,i,0.0,379.0
2,c,1.0,493.0
2,c,1.0,417.0
2,c,1.0,440.0
2,c,1.0,375.0
2,i,1.0,540.0
2,c,1.0,722.0
2,c,1.0,681.0
2,c,1.0,470.0
2,c,1.0,667.0
2,i,1.0,574.0
2,c,1.0,687.0
2,c,1.0,480.0
2,c,1.0,614.0
2,c,1.0,369.0
2,c,1.0,625.0
2,c,1.0,379.0
2,c,1.0,814.0
2,c,1.0,1154.0
2,c,1.0,680.0
2,i,0.0,830.0
2,c,1.0,698.0
2,c,1.0,467.0
2,c,1.0,514.0
2,c,1.0,509.0
2,c,1.0,322.0
2,c,1.0,340.0
2,c,1.0,338.0
2,c,1.0,405.0
2,i,0.0,389.0
2,i,0.0,388.0
2,c,1.0,651.0
2,i,1.0,437.0
2,i,1.0,342.0
2,c,1.0,362.0
2,i,1.0,605.0
2,c,1.0,348.0
2,c,1.0,398.0
2,c,1.0,330.0
2,c,1.0,388.0
2,c,1.0,991.0
2,c,1.0,414.0
2,c,1.0,438.0
2,c,1.0,484.0
2,c,1.0,343.0
2,c,1.0,374.0
2,c,1.0,374.0
2,c,1.0,359.0
2,c,1.0,596.0
2,i,0.0,346.0
2,c,1.0,316.0
2,i,1.0,562.0
2,c,1.0,443.0
2,c,1.0,430.0
2,c,1.0,388.0
2,c,1.0,658.0
2,c,1.0,918.0
2,i,1.0,610.0
2,c,1.0,715.0
2,c,1.0,358.0
2,c,1.0,347.0
2,c,1.0,334.0
2,c,1.0,283.0
2,c,1.0,354.0
2,c,1.0,355.0
2,c,1.0,389.0
2,c,1.0,362.0
2,i,1.0,589.0
2,c,1.0,503.0
2,i,1.0,557.0
2,c,1.0,468.0
2,c,1.0,479.0
2,c,1.0,795.0
2,c,1.0,486.0
2,c,1.0,520.0
2,c,1.0,1466.0
2,c,1.0,400.0
2,c,1.0,410.0
2,c,1.0,348.0
2,c,1.0,297.0
2,c,1.0,402.0
2,c,1.0,329.0
2,c,1.0,338.0
2,i,0.0,329.0
2,c,1.0,805.0
2,c,1.0,323.0
2,i,1.0,534.0
2,c,1.0,605.0
2,i,1.0,729.0
2,i,1.0,431.0
2,c,1.0,398.0
2,c,1.0,415.0
2,c,1.0,347.0
2,c,1.0,292.0
2,i,1.0,459.0
2,i,1.0,378.0
2,c,1.0,839.0
2,c,1.0,337.0
2,i,1.0,715.0
2,c,1.0,809.0
2,i,1.0,433.0
2,c,1.0,420.0
2,i,1.0,845.0
2,c,1.0,415.0
2,i,1.0,742.0
2,c,1.0,606.0
2,c,1.0,600.0
2,c,1.0,334.0
2,i,1.0,480.0
2,c,1.0,741.0
2,c,1.0,321.0
2,c,1.0,389.0
2,c,1.0,371.0
2,c,1.0,312.0
2,c,1.0,311.0
2,c,1.0,350.0
2,c,1.0,426.0
2,i,1.0,524.0
2,c,1.0,451.0
2,c,1.0,398.0
2,c,1.0,350.0
2,c,1.0,380.0
2,c,1.0,382.0
2,c,1.0,597.0
2,c,1.0,389.0
2,i,0.0,375.0
2,i,1.0,515.0
2,c,1.0,549.0
2,i,1.0,527.0
2,i,1.0,490.0
2,i,1.0,793.0
2,c,1.0,505.0
2,c,1.0,617.0
2,c,1.0,407.0
2,c,1.0,316.0
2,c,1.0,645.0
2,i,0.0,359.0
2,i,1.0,495.0
2,c,1.0,395.0
2,c,1.0,355.0
2,i,1.0,610.0
2,c,1.0,355.0
2,c,1.0,339.0
2,i,1.0,482.0
2,c,1.0,381.0
2,c,1.0,356.0
2,c,1.0,366.0
2,c,1.0,391.0
2,i,1.0,756.0
