Participant,Mean_Neutral,Median_Neutral,STD_Neutral,MAD_Neutral,ACC_Neutral,Mean_Congruent,Median_Congruent,STD_Congruent,MAD_Congruent,ACC_Congruent,Mean_InCongruent,Median_InCongruent,STD_InCongruent,MAD_InCongruent,ACC_InCongruent,Median_Diff_RT,Mean_Diff_ACC,Mean_Diff_RT,Slope_Flanker
2,483.1878453,465,91.46406742,65.52113794,98.36956522,490.2065217,467.5,95.38790956,72.36424858,99.45945946,569.8181818,553,102.2376042,76.6292011,89.67391304,85.5,9.785546416,79.61166008,0.040733656
3,440.8977273,422,86.52181093,62.03706095,95.65217391,451.0391061,446,83.39100827,62.18850847,97.2826087,541.1103896,525,112.6758647,86.0569236,83.24324324,79,14.03936545,90.07128347,0.35385657
5,485.6010929,462,89.54769985,65.28012183,98.91891892,474.5824176,453,88.48404868,63.90448014,98.91304348,524.6444444,511,108.2034925,63.31061728,97.82608696,58,1.086956522,50.06202686,-0.117414177
7,399.5906433,381,86.80842142,58.38350262,92.43243243,410.6271186,394,113.8763132,66.50253758,96.19565217,462.2565789,454.5,107.1096793,77.58249654,82.60869565,60.5,13.58695652,51.6294603,-0.111587162
8,432.2554348,427,46.52321793,35.07667769,100,456.8423913,443,71.92028181,53.61359877,100,492.7790698,489,58.04271489,41.79718767,92.97297297,46,7.027027027,35.93667846,-0.379290057
9,503.6098901,484.5,125.5182693,69.81228113,98.91304348,505.6195652,485,110.5897595,76.92970227,99.45945946,553.1744186,548.5,101.4082931,76.49851271,93.47826087,63.5,5.98119859,47.55485339,-0.295952351
10,444.7857143,415.5,100.6456132,73.48430141,98.91304348,448.4153005,421,97.08873355,67.39896682,99.45652174,506.0754717,497,81.63755552,63.2407737,85.94594595,76,13.51057579,57.66017115,-0.299017621
12,426.849162,417,61.80955379,44.62139134,97.2826087,437.1888889,427.5,63.62589586,43.55098765,97.82608696,490.398773,477,75.10441619,54.82058038,88.10810811,49.5,9.717978848,53.20988412,0.252385002
14,411.7228261,401,108.1444304,44.28396739,99.45945946,409.5978261,396.5,71.9892311,46.84723535,100,480.6785714,470.5,87.73410574,58.2997449,91.30434783,74,8.695652174,71.08074534,0.008151503
17,513.4751381,480,108.0014696,77.29355026,98.36956522,510.1793478,475,107.1057667,83.04832231,100,593.9831461,556,193.5083605,107.5623027,96.21621622,81,3.783783784,83.80379824,0.358463454
18,399.7094972,391,72.89822418,52.74298555,97.2826087,399.6888889,394,66.15415288,48.00987654,97.2972973,462.1464968,455,102.1086535,79.77272912,85.32608696,61,11.97121034,62.45760793,0.452280119
19,432.1086957,424.5,55.80732986,42.32206994,99.45945946,457.6994536,439,78.08513493,57.85834154,99.45652174,509.2816092,505,70.12635999,52.55535738,94.56521739,66,4.891304348,51.58215564,-0.168376584
20,554.4456522,495.5,359.5491519,124.2891068,100,507.2032967,497,75.76233113,56.82556455,98.37837838,583.9608939,577,88.95412043,64.03626603,97.2826087,80,1.095769683,76.75759715,0.20610229
21,582.6312849,557,174.5567688,108.3889392,97.2826087,650.5,563.5,309.610668,182.5852273,95.65217391,705.6969697,650,226.7299195,143.9731864,89.18918919,86.5,6.462984724,55.1969697,-0.450649916
22,390.6480447,379,63.23821677,41.82172841,97.2826087,392.1413043,379.5,68.54914579,45.85526938,100,445.6181818,444,77.48205715,56.9399449,89.18918919,64.5,10.81081081,53.47687747,-0.078252897
23,457.6424581,431,89.77284434,64.90215661,97.2826087,466.3351648,446,116.1453784,78.62866804,98.37837838,561.988024,544,122.7441745,93.37588296,90.76086957,98,7.617508813,95.65285912,0.014507854
24,434.7103825,422,59.63532263,44.5948819,99.45652174,432.2486486,415,59.34216196,46.69574872,100,478.0782123,471,64.89840397,50.04444306,97.2826087,56,2.717391304,45.82956364,0.109132901
25,401.0384615,391.5,57.51304108,39.18808115,98.91304348,391.2594595,383,53.96997686,38.82945215,100,462.1111111,454,80.2617612,56.59807956,88.04347826,71,11.95652174,70.85165165,0.476118644
26,434.4696133,420,69.22808851,48.75144226,98.36956522,459.0543478,441,79.18938552,60.2823724,99.45945946,481.0055556,464,75.2129563,50.49598765,97.82608696,23,1.633372503,21.95120773,0.09094827
27,421.9289617,402,105.2078027,57.74290065,99.45652174,414.557377,391,101.8610114,60.18704649,99.45652174,478.7324841,471,108.0536062,72.82112865,84.86486486,80,14.59165687,64.17510703,-0.084346638
28,449.7078652,424,102.7139852,72.26436056,96.21621622,436.6555556,417,103.5420365,67.39740741,97.82608696,547.6458333,520,183.012112,101.9389468,78.26086957,103,19.56521739,110.9902778,0.331563702
29,400.4519774,388,71.64844102,50.58546395,95.67567568,408.9395604,391,84.06450875,60.76977418,98.91304348,461.7647059,445,91.16957629,69.28565936,83.15217391,54,15.76086957,52.82514544,0.007414272
30,448.9090909,435,83.81123503,59.45971074,95.65217391,443.9944444,431,71.61032799,54.72734568,97.82608696,505.6086957,495,85.88671128,65.6289495,87.02702703,64,10.79905993,61.61425121,0.107009359
31,388.5027624,383,39.35841352,26.26299564,98.36956522,390.5300546,382,52.26756946,36.28170444,99.45652174,461.7664671,455,72.63657233,58.57183836,90.27027027,73,9.186251469,71.23641242,0.151244367
33,454.9782609,443,81.72751986,61.47471645,100,474.6229508,452,99.32937172,71.78572068,99.45652174,540.6312849,522,145.9666282,81.66561593,96.75675676,70,2.699764982,66.0083341,0.457389592
34,442.826087,394,482.0503289,114.015663,87.5,408.8597561,386,159.2233407,80.22605592,89.13043478,426.5615385,404.5,111.1594988,81.13159763,70.27027027,18.5,18.86016451,17.70178236,-0.137007044
35,399.2099448,394,51.65978568,38.26922255,97.83783784,394.9830508,391,58.9536099,42.81834722,96.19565217,458.0955414,459,75.11655759,57.59811757,85.32608696,68,10.86956522,63.11249055,0.187072944
36,505.5384615,470,137.4632293,96.60524091,98.91304348,512.9039548,469,197.786176,109.4210476,96.19565217,623.3151515,544,452.6880664,173.9562902,89.18918919,75,7.006462985,110.4111967,0.542076207
37,398.7900552,390,62.55211259,43.02945576,97.83783784,395.4944444,381,71.99577092,49.21555556,97.82608696,450.1806452,451,74.76556181,57.46980229,84.23913043,70,13.58695652,54.68620072,-0.149107842
38,491.3315217,481,83.3657678,61.53786626,100,512.6467391,489,101.6413936,76.24385633,100,564.3804348,544.5,85.45645264,63.93726371,99.45945946,55.5,0.540540541,51.73369565,-0.140825529
39,398.8736264,393.5,58.62956533,42.22376525,98.37837838,418.5869565,400.5,79.86780775,56.44541588,100,475.0880503,465,86.29390342,65.31759029,86.41304348,64.5,13.58695652,56.50109379,-0.045256451
