Participant,Block01,Block02,Mean_Block,Accuracy_Rot
2,0.875,0.9,0.8875,0.9642857142857143
3,0.7375,0.95,0.84375,1.0
5,0.7875,0.8875,0.8374999999999999,0.9285714285714286
7,0.725,0.8,0.7625,0.75
8,0.8666666666670001,1.0,0.9333333333335001,1.0
9,0.7875,0.9375,0.8625,0.8928571428571428
10,0.916666666667,0.9375,0.9270833333335,0.9285714285714286
12,0.5625,0.875,0.71875,1.0
14,1.0,0.9375,0.96875,1.0
17,0.7875,0.8,0.79375,1.0
18,0.25833333333299996,0.1625,0.2104166666665,0.8928571428571428
19,0.9,0.9,0.9,1.0
20,0.641666666667,0.529166666667,0.585416666667,1.0
21,1.0,1.0,1.0,1.0
22,0.725,0.8375,0.78125,0.7857142857142857
23,0.75,0.8375,0.79375,0.9642857142857143
24,0.6,0.85,0.725,1.0
25,0.7875,0.775,0.78125,0.9642857142857143
26,0.6,0.65,0.625,1.0
27,0.725,0.433333333333,0.5791666666665,0.9285714285714286
28,0.9,1.0,0.95,0.9642857142857143
29,0.8041666666670001,0.75,0.7770833333335001,0.8928571428571428
30,0.8375,0.75,0.79375,1.0
31,0.8875,0.445833333333,0.6666666666665,0.7857142857142858
33,0.654166666667,0.7875,0.7208333333335,0.9285714285714286
34,0.7833333333329999,0.725,0.7541666666664999,0.75
35,0.95,0.95,0.95,0.8928571428571428
36,0.570833333333,0.545833333333,0.5583333333330001,0.8214285714285714
37,0.691666666667,0.508333333333,0.6000000000000001,0.7857142857142857
38,0.6125,0.9,0.7562500000000001,0.9285714285714286
39,0.5625,0.33333333333299997,0.4479166666665,0.8928571428571428
41,0.725,0.9,0.8125,1.0
42,0.8,0.7,0.75,1.0
43,0.8875,0.5625,0.725,1.0
44,0.85,1.0,0.925,0.9642857142857143
45,0.95,0.9,0.925,0.9642857142857143
46,0.6625,0.6625,0.6625,0.9285714285714286
47,0.8875,0.395833333333,0.6416666666665,1.0
48,0.8,0.9,0.8500000000000001,0.9642857142857143
49,0.9,1.0,0.95,1.0
50,1.0,0.8,0.9,0.8928571428571428
51,0.825,0.625,0.725,0.9285714285714286
52,0.6,0.85,0.725,0.9642857142857143
53,0.725,0.816666666667,0.7708333333335,0.9642857142857143
54,0.625,0.9,0.7625,0.8571428571428572
