Participant,Block01_SSRTi,Block01_SSRTm,Block02_SSRTi,Block02_SSRTm,Block03_SSRTi,Block03_SSRTm,Mean_SSRTi,Mean_SSRTm
2,310.000038147,330.64499596754166,274.82102811306254,280.22164106374987,283.497595787,285.49471894893753,289.4395540156875,298.7871186600764
3,381.529808044,350.2279387580222,409.85642671625,400.83043575293476,348.448616266125,349.74073388359085,379.94495034212497,366.93303613151596
5,159.26277637500004,262.87891964110406,154.4161170719375,245.09251415722917,87.69959211337493,209.55984791114588,133.79282852010417,239.17709390315972
7,210.18191576050003,266.3178008536087,215.43698310850004,227.38992472485415,206.215000153,217.23421482331912,210.61129967400004,236.98064680059397
8,157.15966820737503,209.3099772930625,114.64699506762497,172.42709696289592,148.32290112962494,203.35428516064576,140.04318813487498,195.03045313886807
9,193.95985603300005,201.57120177082976,239.64337110512503,247.85554508372917,199.14238452900003,224.02714231739128,210.9152038890417,224.4846297239834
10,186.37701272949994,227.77829964952082,201.72365605818754,234.95816787079167,174.71399307300004,199.9220706047447,187.60488728689583,220.88617937501908
12,245.97016572956255,260.88196138543753,215.32076299174997,221.65413399533327,176.97207927700003,187.1693462133333,212.75433599943753,223.2351471980347
14,202.79695987724995,263.72878154120826,190.88445603850005,207.5731456279583,107.71616697324998,178.16152572629164,167.13252762966667,216.4878176318194
17,192.60739088025002,239.50642645352082,269.37198638899997,287.46752440935416,199.96973276106252,218.41345628102084,220.64970334343752,248.4624690479653
18,160.833033919,183.26588769747906,159.41593647000002,176.38193170231244,158.46507549300003,174.65731302897916,159.57134862733335,178.10171080959023
19,200.91486275212503,218.28439633060418,159.4725549220625,177.8764774401875,188.4957551955,218.95706156891669,182.96105762322918,205.03931177990276
20,226.63035392749998,260.59049765272914,197.53394126900002,249.014670798,284.21158790600003,313.31523548470454,236.1252943675,274.3068013118112
21,216.97141230112504,258.75087579089586,209.65169668199997,252.93554166952083,260.2808237078749,290.748514013085,228.96797756366664,267.47831049116724
22,220.369851589,222.61004650846803,193.852901459,205.19475142160417,198.18301200900004,217.4134031254681,204.13525501900003,215.07273368518008
23,188.23603391675,242.2392916172978,219.029140472,245.58942165774477,187.73586451968754,226.20894908902085,198.33367963614583,238.01255412135447
24,163.912463188,180.0984074672083,203.45504283900004,221.1680581171875,205.62996864300004,217.85134051704256,190.99915822333335,206.3726020338128
25,213.40300440812496,243.2747413714792,157.31043815650003,180.1987260580416,160.48166751868746,185.1493328809167,177.06503669443748,202.87426677014582
26,189.19293880450005,202.29676167168753,187.31303215050002,203.2441864410833,153.1940698625,165.55260618525,176.5666802725,190.36451809934024
27,164.46510553375003,248.18561077114583,168.27043890949994,219.90564465522914,216.1020725966875,247.06717729568754,182.9458723466458,238.3861442406875
28,218.08941364299994,238.4694288173959,178.88460457312505,199.24744864297918,233.23637247093745,250.49550334614582,210.07013022902083,229.40412693550698
29,183.27270746237502,229.42017316816668,122.90901243681253,180.7492951551875,195.25312185287498,219.11902030302087,167.14494725068752,209.76282954212502
30,294.45852041262503,287.1897637844583,285.3726148605,296.7291424671667,230.743074417,231.47158722079166,270.19140323004166,271.79683115747224
31,263.561272621625,258.79138759950007,225.95524787931248,221.57210608314585,203.408575058,203.6790112654583,230.97503185297919,228.01416831603476
